Strategy,Turns,TimesSped,Jail,Go,Mediterranean Avenue,Community Chest1,Baltic Avenue,Income Tax,Reading Railroad,Oriental Avenue,Chance1,Vermont Avenue,Connecticut Avenue,Just Visiting,St. Charles Place,Electric Company,States Avenue,Virginia Avenue,Pennsylvania Railroad,St. James Place,Community Chest2,Tennessee Avenue,New York Avenue,Free Parking,Kentucky Avenue,Chance2,Indiana Avenue,Illinois Avenue,B. & O. Railroad,Atlantic Avenue,Ventnor Avenue,Water Works,Marvin Gardens,Go To Jail,Pacific Avenue,North Carolina Avenue,Community Chest3,Pennsylvania Avenue,Short Line,Chance3,Park Place,Luxury Tax,Boardwalk
Escapes,1000,49,73,27,14,17,23,23,30,20,14,14,20,18,21,24,26,17,20,39,21,33,39,39,24,5,30,33,28,33,25,24,26,0,26,25,21,26,22,11,16,19,34
Escapes,1000,51,77,26,24,17,14,23,28,23,6,26,14,17,22,22,19,31,45,31,23,25,23,30,33,16,17,28,26,23,34,29,33,0,30,25,22,31,19,10,17,11,30
Escapes,1000,54,90,27,14,19,19,23,28,28,6,13,18,16,24,22,24,17,31,41,38,23,38,36,26,11,22,32,30,22,38,21,24,0,25,24,18,14,31,12,22,12,21
Escapes,1000,48,72,30,20,17,16,22,28,28,15,17,14,16,33,20,28,26,24,32,19,25,40,34,29,12,22,32,40,30,13,22,30,0,31,19,25,24,21,11,20,19,24
Escapes,1000,47,80,29,18,17,17,25,26,18,6,19,24,16,24,25,26,18,28,24,30,24,38,29,34,10,25,32,31,35,22,27,23,0,26,30,19,25,28,12,13,23,24
Escapes,1000,49,81,26,20,18,18,20,30,20,10,18,19,19,28,17,19,19,31,33,31,29,39,28,34,5,32,31,27,22,26,35,17,0,31,29,18,23,24,12,16,21,24
Escapes,1000,51,86,26,21,11,17,15,36,21,11,20,22,14,25,24,27,30,21,32,20,30,40,31,31,14,27,31,29,30,25,27,24,0,26,22,20,19,29,7,15,28,16
Escapes,1000,46,70,29,21,17,23,25,25,22,5,17,24,18,30,30,19,25,33,20,27,29,38,21,37,11,25,33,25,27,21,30,23,0,29,27,27,23,22,12,25,13,22
Escapes,1000,50,82,27,14,15,18,21,26,20,13,20,13,19,18,24,28,33,35,30,27,27,35,32,19,13,31,39,28,32,22,28,22,0,25,26,25,21,17,4,26,19,26
Escapes,1000,53,81,26,20,13,18,22,29,22,7,19,22,22,21,20,24,22,33,26,29,42,33,28,16,13,22,38,32,25,30,36,20,0,24,24,19,25,26,10,19,19,23
Escapes,10000,494,815,294,168,173,205,205,269,191,76,191,203,177,241,227,204,245,319,312,302,310,319,274,295,131,280,326,299,274,242,299,224,0,257,247,185,240,237,107,218,182,237
Escapes,10000,499,815,289,203,169,186,201,264,179,90,203,189,202,214,242,226,260,300,282,298,336,326,293,309,119,248,309,315,264,264,264,266,0,229,247,233,236,225,78,215,169,243
Escapes,10000,518,838,262,180,140,195,216,277,181,61,213,188,177,224,237,223,246,284,309,285,318,332,286,278,116,289,317,303,263,290,273,238,0,251,276,211,253,210,102,216,190,252
Escapes,10000,510,787,327,179,163,203,193,253,192,98,196,190,183,233,232,265,236,289,288,279,315,324,298,285,111,297,301,300,260,263,274,271,0,255,248,210,237,225,101,218,195,226
Escapes,10000,513,827,276,199,162,180,214,256,194,84,190,217,168,221,230,226,235,276,321,273,328,306,324,338,106,270,297,327,290,257,264,231,0,257,260,229,228,215,103,206,184,231
Escapes,10000,501,829,279,191,157,196,204,260,204,88,188,185,199,199,239,236,247,291,317,269,313,346,271,286,119,277,308,303,284,282,279,222,0,258,257,215,245,237,80,217,197,226
